plant_id,plant_name,origin,origin_info,growth_rate,growth_info,height_cm,height_info,light_demand,light_info,co2_demand,co2_info,thumbnail_url
61,Bucephalandra sordidula 'Blue',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,5 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/139D/2.JPG&crop=resize&class=product
62,Bucephalandra sp. 'Needle Leaf',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,3 - 5+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/139C TC/2.JPG&crop=resize&class=product
63,Bucephalandra sp. 'Red',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,5 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/139A/2.png&crop=resize&class=product
64,Cabomba aquatica,South America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/015 BDT/2.png&crop=resize&class=product
65,Cardamine lyrata,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/024/2.png&crop=resize&class=product
66,Ceratophyllum demersum,Cosmopolitan,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,5 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/021A POR/2.png&crop=resize&class=product
67,Ceratopteris thalictroides,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,15 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/005A/2.png&crop=resize&class=product
68,Crinum calamistratum,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/094A/2.png&crop=resize&class=product
69,Crinum thaianum,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/093/2.png&crop=resize&class=product
70,Cryptocoryne albida 'Brown',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/126B/2.png&crop=resize&class=product
71,Cryptocoryne beckettii 'Petchii',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,10 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/108A CLP/2.JPG&crop=resize&class=product
72,Cryptocoryne beckettii 'Petchii',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,10 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/108A PCS/2.png&crop=resize&class=product
73,Cryptocoryne beckettii 'Petchii',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,10 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/108A YLS/2.png&crop=resize&class=product
74,Cryptocoryne beckettii 'Petchii',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,10 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/108A/2.png&crop=resize&class=product
75,Cryptocoryne crispatula,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/125 TC/2.jpg&crop=resize&class=product
76,Cryptocoryne crispatula,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/125/2.png&crop=resize&class=product
77,Cryptocoryne nurii,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,10 - 20+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/126 TC/2.JPG&crop=resize&class=product
78,Cryptocoryne parva,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 10+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/106 TC/2.png&crop=resize&class=product
79,Cryptocoryne parva,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 10+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/106/2.png&crop=resize&class=product
80,Cryptocoryne spiralis 'Red',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/105/2.JPG&crop=resize&class=product
81,Cryptocoryne undulata 'Broad Leaf',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,15 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/110A/2.png&crop=resize&class=product
82,Cryptocoryne undulata 'Broad Leaf',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,15 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/110B TC/2.JPG&crop=resize&class=product
83,Cryptocoryne usteriana,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/120/2.png&crop=resize&class=product
84,Cryptocoryne wendtii 'Green',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,10 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/109 TC/2.png&crop=resize&class=product
85,Cryptocoryne wendtii 'Green',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,10 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/109/2.png&crop=resize&class=product
86,Cryptocoryne wendtii 'Mi Oya',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/109D TC/2.png&crop=resize&class=product
87,Cryptocoryne wendtii 'Tropica',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,10 - 20+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/109E XL/2.png&crop=resize&class=product
88,Cryptocoryne wendtii 'Tropica',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,10 - 20+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/109E/2.png&crop=resize&class=product
89,Cryptocoryne x willisii,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,10 - 20+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/107 CLP/2.JPG&crop=resize&class=product
90,Cryptocoryne x willisii,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,10 - 20+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/107 PCS/2.png&crop=resize&class=product
91,Cryptocoryne x willisii,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,10 - 20+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/107/2.png&crop=resize&class=product
92,Cyperus helferi,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/133A CLP/2.JPG&crop=resize&class=product
93,Cyperus helferi,Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/133A/2.png&crop=resize&class=product
94,Echinodorus 'Aquartica',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,10 - 20+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/074F/2.png&crop=resize&class=product
95,Echinodorus cordifolius 'Fluitans',North America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/073D/2.png&crop=resize&class=product
96,Echinodorus grisebachii 'Bleherae',South America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/071 BDT/2.png&crop=resize&class=product
97,Echinodorus grisebachii 'Bleherae',South America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/071 CLP/2.JPG&crop=resize&class=product
98,Echinodorus grisebachii 'Bleherae',South America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/071 XL/2.png&crop=resize&class=product
99,Echinodorus grisebachii 'Bleherae',South America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/071/2.png&crop=resize&class=product
100,Echinodorus grisebachii 'Tropica',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,5 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/071E TC/2.JPG&crop=resize&class=product
101,Echinodorus 'Ozelot',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/073F XL/2.png&crop=resize&class=product
102,Echinodorus 'Ozelot',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/073F/2.png&crop=resize&class=product
103,Echinodorus 'Ozelot Green',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/073G/2.png&crop=resize&class=product
104,Echinodorus 'Red Diamond',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,15 - 20+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/074D/2.png&crop=resize&class=product
105,Echinodorus 'Reni',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,15 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/072D PCS/2.png&crop=resize&class=product
106,Echinodorus 'Reni',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,15 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/072D TC/2.png&crop=resize&class=product
107,Echinodorus 'Reni',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,15 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/072D/2.png&crop=resize&class=product
108,Echinodorus 'Rosé',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/072B XL/2.png&crop=resize&class=product
109,Echinodorus 'Rosé',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/072B/2.png&crop=resize&class=product
110,Echinodorus x barthii,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/072A XL/2.png&crop=resize&class=product
111,Echinodorus x barthii,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/072A/2.png&crop=resize&class=product
112,Egeria densa,Cosmopolitan,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/058 BDT/2.png&crop=resize&class=product
113,Eleocharis acicularis,Cosmopolitan,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,10 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/133 TC/2.png&crop=resize&class=product
114,Eleocharis montevidensis,North America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/132D/2.png&crop=resize&class=product
115,Eleocharis parvula,Cosmopolitan,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,3 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/132C PCS/2.JPG&crop=resize&class=product
116,Eleocharis parvula,Cosmopolitan,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,3 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/132C/2.png&crop=resize&class=product
117,Eleocharis pusilla 'Mini',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,3 - 5+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/132B TC/2.JPG&crop=resize&class=product
118,Eriocaulon cinereum,Cosmopolitan,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,3 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/091 TC/2.png&crop=resize&class=product
119,Eriocaulon sp. 'Vietnam',Asia,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,3 - 20+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/091A/2.JPG&crop=resize&class=product
120,Fissidens fontanus,,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,3 - 5+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/002F/2.png&crop=resize&class=product
